name,address,denomination,attendance,worship_style,worship_description,Approximately how close are you to Calvin College?,sunday_service_time,student_needs,student_opportunities,mission_statement,transportation
Meadow Springs,"3300 36th St.
",Orthodox Presbyterian (OPC),<150,Thematic,"joyful, relevant, blended",< 2 miles,"Sunday worship 10am (Sunday school at 11:30)
Small groups during the week at various times and locations
","Nursery, Youth Group, Worship Team (singers, musicians, sound), Servant Evangelism, Website, etc","Sweet hospitality through ""Home-cooked"" meals & potlucks, mentoring with older saints, short term mission projects, etc.","Meadow Springs' Purpose & Vision
1. We have and will remain faithful, passionate and creative in bringing the good news to the lost. Almost 60% of SE Grand Rapids are unchurched.
2. We have a passion for teaching the truth for real change. Our community is increasing in false religion and poor biblical teaching. 
3. We have a heart for ministering to children and families in our community. Gangs, divorce and teen violence have deteriorated families and hope for the next generation.",Call Pastor Jerry at (616) 455-5672 or email opcrev@comcast.net to schedule a ride. We'd love to meet you!
Cutlerville East CRC,"501 68th Street
",,150-500,Liturgical,historically rich,5-10 miles,Sundays 9:30 am and 5 pm,Youth Group,Young Adult Bible Study,"In order to glorify God, under the kindship of Christ, we seek to enable God's people for Christian living and to spread the gospel of Christ's redemptive love to our community and to our world.",
Community Reformed,"7239 Thornapple River Dr SE
Ada, MI 49301 
",RCA,> 1000,Thematic,1 service blended with a flare 2 other services = rockin,> 10 miles,"Two services at 9:00 am - one blended the other contemporary
One service at 10:30 am - contemporary","Nursery, Sunday School Teacher or Helper, Student Ministry Intern, Praise Teams, Choir, Community Service.",Yes.  It's called Gravity.  It is an integration ministry that helps young adults integrate into the life of the church.  We also have weekly bible studies and worship opportunities for young adults.,"Looking Up to see what God is doing,
Leaning IN to what Christ has for us,
Living Out our faith wherever the Spirit Leads us.","Not as yet, but if a need is expressed, we will do our best to provide it."
First CRC,"650 Bates Street SE
Grand Rapids, MI 49503 
",Christian Reformed,150-500,Thematic,"contemporary, blended,interactive",2-5 miles,Sunday 10 am.  Second Sunday of the month second service at 6 pm.,"Praise Team, Nursery, Children's Worship Leaders or Greeters.  Anywhere they would like to serve we would do our best to incorporate them.",We have a college dinner approx one time a month following the worship service. All college age people are invited.  They may be assigned to a household if interested. This small group also meets one time a month usually over a meal,"Compelled by God's amazing love,
and guided by the Holy Spirit,
First Church is called to live faithfully
by building Christ-centered
relationships that disciple and
encourage all his people as we worship,
serve, and grow in this place.
",
Grace for the Nations Church,"333 Kraft Ave. SE 
Grand Rapids, MI 49512
",Pentecostal,150-500,Experiential,"multi-ethnic, gospel, exciting",2-5 miles,"Sunday Morning 9:00am
Sunday Mid-Day 11:00am","Youth Group, Praise and Worship Team, Volunteering and Internships, Teaching Sunday School, Media Ministries ",Yes,"OUR MISSION:
We reach the diverse people of the world by teaching biblical principles and life application of the scripture, despite the present day challenges facing individuals, families and our communities, We believe there is HOPE! ","yes, we have a van that comes to campus to pick students up at knollcrest. the number to call is 616.974.9128"
True Light Baptist Church,"900 Thomas SE Grand Rapids, MI 49506 
",Baptist,150-500,Experiential,"gospel, African American, blended",5-10 miles,"Wednesdays @ 12pm and 6:30pm
Sundays @ 10:30am ","Multimedia Team
Children's Church
Praise Team
Worship Band
Youth Group",Van Ministry is available to pick-up students with at least 48 hour notice,"Our Mission:
We are one Church
Exalting God
Through worship, prayer, and praise
Empowering His People
Through Christian Education and Discipleship
Engaging Our Community
Through Missions and Evangelism
",Yes. With 48 hours notice
St. John Chrysostom,"40 National NW 
Grand Rapids, MI 49501 
",Orthodox Christian,<150,Liturgical,"Trinity, Apostolic, & Patristic",5-10 miles,"Sunday 10:00 AM
Saturday 5:00 PM
Tuesday 6:30 PM
See the church calendar http://stjohnroc.com/churchcalendar/",1. We are looking for people to assist with the organization and execution of our benevolent activities into the surrounding community.  2. We would like to add more voices to our beautiful choir.  Volunteers must be interested in singing A cappella in the traditional Russian style under professional direction.,"College students are welcome to pray with us at all services, and are encouraged to fellowship with us.  On Sunday's from December 1st through January 5th we are having a Sunday lecture and discussion coffee hour as we prepare to celebrate the Nativity of the Lord on January 7th (according to the Julian calendar).",The purpose of the Orthodox Church is to unite humanity with God.  It is our responsibility to remain faithful stewards of the apostolic faith entrusted to us.,"Our church is accessible from the Rapid bus system from both Fulton Street and Lake Michigan Drive.  We are located at 40 National NW, Grand Rapids 49501."
Boston Square,"1803 Kalamazoo Ave SE
Grand Rapids, MI 49507 
",CRC,<150,Liturgical,"neighborhood, community, communion",2-5 miles,"Worship, Sunday at 10:00 AM
Evening Vespers, First Sunday of the Month, 5:30 PM","Small Groups, Special Music, Be a participant in friendly church ultimate frisbee or soccer games","College students are welcomed in our small groups, though they are multi-generational instead of having groups specifically for all college students.",A passionate community experiencing spiritual transformation for building the kingdom of God.,Rides available upon request.
Providence CRC,"7730 Eastern Avenue SE
Grand Rapids, MI 49508 
",CRC,150-500,Thematic,"multi-generational, servant worship, biblical",> 10 miles,"Sunday 9:30 am & 5:00 pm
","Praise Team, Upward Basketball, and REFUEL (Wednesday Night Min)",Not at this time,"Our Mission is to glorify God by demonstrating HIS love to our church family and community.  
Our Vision is to achieve this Mission by emphasizing three specific commitments. We are committed to: 1. Prayer; 2. Care and Support of the Church Family; and  3. Vibrant Ministry with the Community",Not at this Time
Kentwood Community Church,"1200 60th Street SE
Kentwood, MI 49508
",Wesleyan,> 1000,Thematic,"multi-ethnic, blended, multi-cultural",5-10 miles,"Saturday 6:00 p.m.
Sunday 9:15 a.m.
Sunday 11:00 a.m.",Specifically young adults group (college age to 30); graphics; IT support; benevolence ministry; and all areas of volunteer ministry,"Opportunities:  Internships available in graphics, IT support, and benevolence ministries","To be a diverse community where people experience authentic relationships and find hope and freedom in Jesus Christ through our
unconditional love, selfless serving, and the passionate cultivation of life change.",No. (I apologize.)  Public transportation has a bus stop on the corner.
Harvest Church,"930 52nd St. SW
Wyoming MI 49509
",Orthodox Presbyterian ,150-500,Liturgical,vibrant reformed worship,5-10 miles,"Sundays: 9:30 AM Worship followed by fellowship and Sunday School classes for all ages.  5:30 PM Evening Worship
","Various Bible and Book Studies, Ministry Team participation, Various outreach programs, College & Career Group, etc..","We have a thriving College & Career Group that meets on Sunday nights 2X a month for dinner, fellowship and Bible Study.  They also plan other fun activities throughout the year as well.  We also have families that host Sunday dinner once a month for college students.","Harvest OPC exists to glorify God by: 
- Enjoying Him in Worship
- Equipping every member for Worthy Service
- Evangelizing West Michigan and the World
",Transportation can be arranged through various families in the church if needed.
Our Savior Lutheran,"2900 Burton Street SE
Grand Rapids, MI 49546 
",Lutheran Church Missouri Synod,150-500,Liturgical,"Christ-centered, strong singing",< 2 miles,"Sunday 8 and 11 AM.
During Advent and Lent, Wednesdays at 7 PM.","Choir, bell choir, musical instruments in service, assistance with our parish school (Preschool - 8th grade).",Occasional brunches/discussions for college students at the Pastor's home or at church. ,"Our Savior Lutheran Church is a caring community gathered by the Holy Spirit around the Word and Sacraments of our Lord Jesus Christ. We strongly support Christian Education for all ages through our year-round adult education and Sunday School and through our  parish school (Preschool - 8th grade).  We believe the purpose of the Christian Church is to deliver the forgiveness of sins and help from Christ to us sinners so that we can forgive and serve our neighbor.
","Yes.  Students are picked up by members on Sunday mornings at 10:45-50 in front of  Noordewier/Vanderwerp.  
We're about 1/2 mile west of Calvin's Burton Street entrance. "
Berkley Hills Community,"1670 Ball Ave NE
Grand Rapids, MI 49505
",wesleyan,150-500,Experiential,"Spirit, truth, awesome!",5-10 miles,"Sunday at 9:30am
Sunday at 11:00 am","We have many college students serving in the children's ministry, in the youth ministry, on the worship team, as greeters/ushers, on the college ministry team, serving on monthly local outreach projects, serving on mission trips to Haiti where our church sponsors a village/school.",MOSAIC is our college ministry at Berkley.  We equip college aged students to grow in their faith.  We help network them with others in our congregation to serve alongside in various ministries.  We offer meals after the morning service twice a month.  We offer local outreach projects twice a month.  We offer on campus small groups for students. We offer a mentoring program where a college student is matched with someone older from the congregation.,"Knowing Jesus.  Being Jesus.
(It's very short, it is our official mission statement, and we feel it totally defines us.  We try very hard to equip our people to know Jesus better every day, and then in turn we encourage them to be Jesus in their world.  On any given Sunday, our pastor will ask the congregation what our mission statement is, and the whole congregation joyously repeats it back to him.  It's short, but it is all we need, and our church knows it and tries to live up to it.)","Not specifically, but we can set up rides when students need them.  Currently we have two different members of our congregation who pick up students from Calvin every week."
Princeton Christian Reformed,"5330 Kalamazoo SE
Grand Rapids, MI 49508 
",Christian Reformed,150-500,Thematic,"blended, ordered, evolving",2-5 miles,Sundays at 9:30 a.m. and 5:00 p.m.,"Praise Team, Kid's Hope USA mentor, periodic mission trips/local community service projects, tech support","We do not have a specific college age ministry at this time, but we're certainly open to talking about that.","Princeton is a 50-year old church in a transitioning neighborhood.  We believe that we are here to celebrate Christ as a caring community, so that all people may experience the power and grace of God.","We don't own a van, but do have members living within blocks of Calvin who have vans and are willing to provide transportation anytime."
Revive Vineyard Church,"4620 Kalamazoo Ave SE
Kentwood, MI 49512
",Vineyard,<150,Experiential,"discipleship-emphasis, missional, fun",2-5 miles,"Saturdays, 5pm","Disciple-maker, nursery, worship team, community involvment",1 on 1 mentoring,We are a Jesus centered community making disciples in SE Grand Rapids. Our two priorities are to raise up leaders and to help people  new to faith meet God.,Can arrange rides if requested. Call 616.283.5943
Hahn-In,"2733 Byron Center Ave SW
Wyoming, MI  49519 
",CRC,<150,Thematic,"contemporary, Korean-American, gospel",5-10 miles,"1) 11:00 am on Sun.
2) 7:30 pm on Wed.","Church Nursery, Youth Group, Praise Team, Sunday School, Han-gul School, etc.","1) KM ministry for young adult students
","1) We are called to praise Him, listen to His word, and obey Him. 
2) We grow through the belief in Christ and obedience to Him.
3) We love the people of God and take care of them.
4) We serve others and testify Jesus.
5) We pursue the righteousness and peace of God in every realm of life.","Yes.
1) Every Sunday 10:20 am at the entrance of Knollcrester.
2) After the 11:00 am service, the van departs from the church 1:20 pm for the college students."
Monroe Community,"800 Monrose Suite 140 NW
Grand Rapids, MI 495403
",Christian Reformed Church,<150,Thematic,"participatory, multi-sensory, blended ",5-10 miles,"Sunday mornings at 10:30 AM
Monroe Community Church
800 Monroe Ave NW
Grand Rapids MI 49503","Nursery
Children's Ministry Leader
AV Team
Worship Team (instrumental, vocals)
Bible Bistro Leader (a middle school sermon discussion after the message)
",We have a young adult small group for those who interested,The mission of Monroe Community Church is to connect our downtown community to our life changing God.,We have members who live near Calvin that bring students who have needed rides.
Oakdale Park,"961 Temple SE
Grand Rapids, MI 49507 
",CRC,150-500,Experiential,"multi-ethnic, blended",2-5 miles,"10:15am Sunday morning worship service
5:00pm  Evening Bible study",Volunteer oppportunities in children and youth ministry in all age groups.  Outreach opportunities with adults in Lifetree Cafe.  Worship team and Gospel Choir.  Visual Arts ministry.,Young adults participate in small groups with a variety of ages.,"Motto:  Loving God, Loving Others, Right Here
Mission Statement:  God's life-changing, never-giving-up, all-inclusive love transforms us into a multicultural community of hope.",no
Calvary,"707 East Beltline Grand Rapids, MI 49525 
",Christian Reformed Church,<150,Liturgical,"Grace focused, organic, and a mosaic of music. Diversity welcome",5-10 miles,Sundays at 10 a.m. ,"Praise team, community service, nursery, ministry leadership positions available including internships for college credit.","Post- High and Post-college communities, leadership opportunities for college students available","Mosaic - a place where all walks of life merge together into a tapestry of community.
Engaged- a people moved to be in tune with one another and the world by staying connected to Jesus.
Explore- we nurture each other to grow spiritually as we reach out to our community.
Transformed- a place where it is safe to come as you are to belong, a place to renew faith and believe, a home to be loved by God & community.","No, not yet, but we are willing to provide transportation if a group of students request such services. "
